#NAMEPSACE = MOUNTS;;;;;;;;;;;;;;;
A_PEGASUS_MOUNT;A Pegasus Mount;;;;;;;;;;;;x
EVTOPTMOUNTS.0.a;Yes, I will buy a pegasus mount.;;;;;;;;;;;;x
EVTOPTMOUNTS.0.b;Yes, I will buy a pegasus mount.;;;;;;;;;;;;x
EVTDESCMOUNTS.0;Though rare, there are still herds of pegasi in your realm. To get a pegasus mount, you must buy one while it is young, and raise it as your own. It takes five years for a pegasus mount to reach adulthood.;;;;;;;;;;;;x
EVTDESCMOUNTS.1;It has been five years, and your pegasus mount stands ready. It is a worthy steed, and will give you many advantages in battle.;;;;;;;;;;;;x
A_GRYPHON_MOUNT;A Griffon Mount;;;;;;;;;;;;x
EVTOPTMOUNTS.2.a;Yes, I will buy a griffon mount.;;;;;;;;;;;;x
EVTOPTMOUNTS.2.b;Yes, I will buy a griffon mount.;;;;;;;;;;;;x
EVTDESCMOUNTS.2;Though rare, there are still griffons sighted in your realm. To get a griffon mount, you must buy one while it is young, and raise it as your own. It takes ten years for a Griffon mount to reach adulthood.;;;;;;;;;;;;x
EVTDESCMOUNTS.3;It has been ten years, and your griffon mount stands ready. It is a worthy ally, and will give you many advantages in battle.;;;;;;;;;;;;x
A_WYVERN_MOUNT;A Wyvern Mount;;;;;;;;;;;;x
EVTDESCMOUNTS.4;Though rare, there are still wyverns sighted in your realm. To get a wyvern mount, you must buy one while it is young, and raise it as your own. It takes ten years for a wyvern mount to reach adulthood.;;;;;;;;;;;;x
EVTDESCMOUNTS.5;It has been ten years, and your wyvern mount stands ready. It is a worthy ally, and will give you many advantages in battle.;;;;;;;;;;;;x
A_DRAGON_MOUNT;A Dragon Mount;;;;;;;;;;;;x
EVTOPTMOUNTS.6.b;No, I don't need a dragon mount.;;;;;;;;;;;;x
EVTDESCMOUNTS.6;The dragons of Caledor are mostly sleeping, but the secrets of the old dragon tamers are not entirely lost. With a decade to spare, money, and enough prestige, it may be possible to convince a dragon to serve as your mount.;;;;;;;;;;;;x
EVTDESCMOUNTS.7;It has been ten years, and you have succeeded in waking a ancient dragon of Caledor and convincing it to serve as your mount. Let all know of your glory!;;;;;;;;;;;;x
EVTOPTMOUNTS.8.a;I thought the dragons were all sleeping!;;;;;;;;;;;;x
EVTDESCMOUNTS.8;Rumour reaches you that a mighty Dragon Prince has succeeded in waking and taming a mighty beast to serve as his mount in battle. Let the enemies of Caledor tremble...;;;;;;;;;;;;x
TERROR_FROM_DARKNESS;Terror from Darkness;;;;;;;;;;;;;;
EVTDESCMOUNTS.9;Vampires have been known to use their innate necromantic powers to piece together monstrous creatures that would fly them into the night and upon their prey.;;;;;;;;;;;;;;
EVTOPTMOUNTS.9.b;I've better things to spend time on.;;;;;;;;;;;;;;
EVTDESCMOUNTS.10;After months of hard work, the monster is finally ready. The shrieking abomination craves for the blood of your enemies and is ready to fly you wherever you wish.;;;;;;;;;;;;;;
EVTOPTMOUNTS.9.a;Good.;;;;;;;;;;;;;;
FLIGHTS_OF_DEVILS;Flights of Devils;;;;;;;;;;;;;;
EVTDESCMOUNTS.11;A Knight as powerful as you are deserves a mighty steed to go with [Root.GetHerHim]. You may embark in a short quest to find your very own Nightmare to ride, although it might keep you away for a while.;;;;;;;;;;;;;;
EVTDESCMOUNTS.12;There it is, a dark and twisted form, gallopping through the somber clouds of a stormy night, your new steed. It is finally time to go back home.;;;;;;;;;;;;;;
WAR_BEAR_MOUNT;An Ursun War Bear;;;;;;;;;;;;x
EVTOPTMOUNTS.13.a;Yes, I will train a war bear.;;;;;;;;;;;;x
EVTDESCMOUNTS.13;Though rare, you have heard tales of great bears in your realm. To get a War Bear mount, you must find one while it is young, and raise it as your own. It takes five years for a war bear to reach adulthood.;;;;;;;;;;;;x
EVTDESCMOUNTS.14;It has been five years, and your war bear stands ready. It is a mighty beast and your closest friend, It will give you many advantages in battle.;;;;;;;;;;;;x
COLD_ONE_MOUNT;A Cold One Mount;;;;;;;;;;;;x
EVTOPTMOUNTS.15.a;Yes, I will train a cold one.;;;;;;;;;;;;x
EVTDESCMOUNTS.15;Cold Ones are rapacious predators, fuelled by a savage blood-lust that drives them to attack any warm-blooded creature that comes near. To get a Cold One, you must find one while it is young, and raise it as your own. It takes five years for a cold one to reach adulthood.;;;;;;;;;;;;x
EVTDESCMOUNTS.16;It has been five years, and your cold one stands ready. It is a mighty beast and will give you many advantages in battle.;;;;;;;;;;;;x
SPIDER_MOUNT;A Spider Mount;;;;;;;;;;;;x
EVTOPTMOUNTS.17.a;Yes, I will train a giant spider.;;;;;;;;;;;;x
EVTDESCMOUNTS.17;It is commonly known that the Forest Goblin tribes have an odd affiliation with spiders that live deep within the darkest woods of the Old World, where they are often eaten for food, milked for poisons, kept as pets or even worshiped as Gods.;;;;;;;;;;;;x
EVTDESCMOUNTS.18;It has been five years, and your spider is ready. It is a mighty beast and your closest friend, It will give you many advantages in battle.;;;;;;;;;;;;x
MAMMOTH_MOUNT;A Mammoth Mount;;;;;;;;;;;;x
EVTOPTMOUNTS.19.a;Yes, I will train a mammoth.;;;;;;;;;;;;x
EVTDESCMOUNTS.19;,Great mammoths walk in northern tundras, where some tribes and Ogres hunt them for meat, skins and bones. But some hunt them for war. Capturing one alive and bending it to one's will is no easy task, but if succeeded, the tribe will have a warbeast that can crush buildings and break down the gates of strongholds.;;;;;;;;;;;;x
EVTDESCMOUNTS.20;It has been five years, and your Mammoth stands ready. It is a mighty beast towering over even the largest of your tribe, It will give you many advantages in battle.;;;;;;;;;;;;x
CHARIOT_MOUNT;A War Chariot;;;;;;;;;;;;x
EVTOPTMOUNTS.21.a;Yes, I will build a war chariot.;;;;;;;;;;;;x
EVTDESCMOUNTS.21;Ever since their invention, chariots have been the chosen means of transport for the kings of Nehekhara. Upon awakening from their deathly slumbers, Tomb Kings have continued to lead their armies to war from atop these ancient machines.;;;;;;;;;;;;x
EVTDESCMOUNTS.22;It has been five years, and your chariot is ready. Not only does your chariot have an armoured carriage, to protect you from harm, it also provides you with an elevated platform. This grants you a superior view of the battlefield, enabling you to direct your own troops to inflict the most damage.;;;;;;;;;;;;x
#
#Artifacts#
war_bear_mount;War Bear Mount;;;;;;;;;;;;x
war_bear_mount_desc;There is no creature more important to the Kislevites than the bear. He is more than just the symbol of the land, a God, and a king; his image is more than just a rallying figure for armies and proud citizens. The bear shares his life with the people of the oblast and shares their struggles. When winters are harsh, he goes hungry just as they do. When spring comes again, he takes his young to the river to play just as they do. In summer